Taxon ID,Common Name,Scientific Name,Genus,Species,Plate
norsho,Northern Shoveler,Spatula clypeata,Spatula,clypeata,plate-327-shoveller-duck
y00475,American Coot,Fulica americana,Fulica,americana,plate-239-american-coot
greegr,Great Egret,Ardea alba,Ardea,alba,plate-386-white-heron
rethaw,Red-tailed Hawk,Buteo jamaicensis,Buteo,jamaicensis,plate-51-red-tailed-hawk
rewbla,Red-winged Blackbird,Agelaius phoeniceus,Agelaius,phoeniceus,plate-67-red-winged-starling
norpin,Northern Pintail,Anas acuta,Anas,acuta,plate-227-pin-tailed-duck
norhar2,Northern Harrier,Circus hudsonius,Circus,hudsonius,plate-356-marsh-hawk
blkpho,Black Phoebe,Sayornis nigricans,Sayornis,nigricans,plate-120-pewit-flycatcher
mallar3,Mallard,Anas platyrhynchos,Anas,platyrhynchos,plate-221-mallard-duck
whcspa,White-crowned Sparrow,Zonotrichia leucophrys,Zonotrichia,leucophrys,plate-114-white-crowned-sparrow
gadwal,Gadwall,Mareca strepera,Mareca,strepera,plate-348-gadwall-duck
wesmea,Western Meadowlark,Sturnella neglecta,Sturnella,neglecta,plate-136-meadow-lark
savspa,Savannah Sparrow,Passerculus sandwichensis,Passerculus,sandwichensis,plate-109-savannah-finch
cintea,Cinnamon Teal,Spatula cyanoptera,Spatula,cyanoptera,plate-313-blue-winged-teal
amewig,American Wigeon,Mareca americana,Mareca,americana,plate-345-american-widgeon
gnwtea,Green-winged Teal,Anas crecca,Anas,crecca,plate-228-green-winged-teal
grbher3,Great Blue Heron,Ardea herodias,Ardea,herodias,plate-211-great-blue-heron
brebla,Brewer's Blackbird,Euphagus cyanocephalus,Euphagus,cyanocephalus,
amekes,American Kestrel,Falco sparverius,Falco,sparverius,
whtkit,White-tailed Kite,Elanus leucurus,Elanus,leucurus,plate-352-black-winged-hawk
marwre,Marsh Wren,Cistothorus palustris,Cistothorus,palustris,plate-100-marsh-wren
gwfgoo,Greater White-fronted Goose,Anser albifrons,Anser,albifrons,plate-286-white-fronted-goose
yerwar,Yellow-rumped Warbler,Setophaga coronata,Setophaga,coronata,
greyel,Greater Yellowlegs,Tringa melanoleuca,Tringa,melanoleuca,plate-288-yellow-shank
bknsti,Black-necked Stilt,Himantopus mexicanus,Himantopus,mexicanus,plate-328-long-legged-avocet
killde,Killdeer,Charadrius vociferus,Charadrius,vociferus,plate-225-kildeer-plover
rudduc,Ruddy Duck,Oxyura jamaicensis,Oxyura,jamaicensis,plate-343-ruddy-duck
tunswa,Tundra Swan,Cygnus columbianus,Cygnus,columbianus,plate-411-common-american-swan
amepip,American Pipit,Anthus rubescens,Anthus,rubescens,
buffle,Bufflehead,Bucephala albeola,Bucephala,albeola,plate-325-buffel-headed-duck
snoegr,Snowy Egret,Egretta thula,Egretta,thula,plate-242-snowy-heron
snogoo,Snow Goose,Anser caerulescens,Anser,caerulescens,plate-381-snow-goose
reshaw,Red-shouldered Hawk,Buteo lineatus,Buteo,lineatus,plate-56-red-shouldered-hawk
hergul,Herring Gull,Larus argentatus,Larus,argentatus,
comrav,Common Raven,Corvus corax,Corvus,corax,
sonspa,Song Sparrow,Melospiza melodia,Melospiza,melodia,
rocpig,Rock Pigeon,Columba livia,Columba,livia,
doccor,Double-crested Cormorant,Nannopterum auritum,Nannopterum,auritum,plate-257-double-crested-cormorant
calgul,California Gull,Larus californicus,Larus,californicus,
pibgre,Pied-billed Grebe,Podilymbus podiceps,Podilymbus,podiceps,
cangoo,Canada Goose,Branta canadensis,Branta,canadensis,
lobcur,Long-billed Curlew,Numenius americanus,Numenius,americanus,plate-231-long-billed-curlew
gocspa,Golden-crowned Sparrow,Zonotrichia atricapilla,Zonotrichia,atricapilla,
turvul,Turkey Vulture,Cathartes aura,Cathartes,aura,
ribgul,Ring-billed Gull,Larus delawarensis,Larus,delawarensis,
moudov,Mourning Dove,Zenaida macroura,Zenaida,macroura,
leasan,Least Sandpiper,Calidris minutilla,Calidris,minutilla,plate-320-little-sandpiper
linspa,Lincoln's Sparrow,Melospiza lincolnii,Melospiza,lincolnii,
canvas,Canvasback,Aythya valisineria,Aythya,valisineria,plate-301-canvas-backed-duck
bcnher,Black-crowned Night-Heron,Nycticorax nycticorax,Nycticorax,nycticorax,plate-236-night-heron
ruckin,Ruby-crowned Kinglet,Corthylio calendula,Corthylio,calendula,
coohaw,Cooper's Hawk,Accipiter cooperii,Accipiter,cooperii,
lobdow,Long-billed Dowitcher,Limnodromus scolopaceus,Limnodromus,scolopaceus,
amecro,American Crow,Corvus brachyrhynchos,Corvus,brachyrhynchos,
wilsni1,Wilson's Snipe,Gallinago delicata,Gallinago,delicata,
houfin,House Finch,Haemorhous mexicanus,Haemorhous,mexicanus,
whfibi,White-faced Ibis,Plegadis chihi,Plegadis,chihi,plate-387-glossy-ibis
comgol,Common Goldeneye,Bucephala clangula,Bucephala,clangula,plate-403-golden-eye-duck
treswa,Tree Swallow,Tachycineta bicolor,Tachycineta,bicolor,plate-98-white-bellied-swallow
amebit,American Bittern,Botaurus lentiginosus,Botaurus,lentiginosus,plate-337-american-bittern
belkin1,Belted Kingfisher,Megaceryle alcyon,Megaceryle,alcyon,plate-77-belted-kingfisher
saypho,Say's Phoebe,Sayornis saya,Sayornis,saya,
eursta,European Starling,Sturnus vulgaris,Sturnus,vulgaris,
houspa,House Sparrow,Passer domesticus,Passer,domesticus,
dunlin,Dunlin,Calidris alpina,Calidris,alpina,
comgal1,Common Gallinule,Gallinula galeata,Gallinula,galeata,
rinphe,Ring-necked Pheasant,Phasianus colchicus,Phasianus,colchicus,
ameavo,American Avocet,Recurvirostra americana,Recurvirostra,americana,plate-318-american-avocet
grhowl,Great Horned Owl,Bubo virginianus,Bubo,virginianus,plate-61-great-horned-owl
comyel,Common Yellowthroat,Geothlypis trichas,Geothlypis,trichas,
rinduc,Ring-necked Duck,Aythya collaris,Aythya,collaris,plate-234-ring-necked-duck
