Gallery,Image,Caption
clinton,media/dedication/dedication1.jpg,
clinton,media/dedication/dedication2.jpg,
clinton,media/dedication/dedication3.jpg,
clinton,media/scans/doc_dedication_remarks.jpg,
clinton,media/scans/doc_dedication_pamphlet_front.jpg,
clinton,media/scans/doc_dedication_pamphlet_inside.jpg,
clinton-walk,media/dedication/clinton3.jpg,
clinton-walk,media/dedication/dedication4.jpg,
demowetlands,media/discover_demowetlands.jpg,
demowetlands,media/education1.jpg,
demowetlands,media/education2.jpg,
demowetlands,media/education3.jpg,
education,media/schoolbus.jpg,
education,media/discover_ybwa.jpg,
localsupport,media/planning4_vicfazio.jpg,
localsupport,media/planning3_betsymarchand.jpg,
flood-control-structures,media/dwr_photos/PJH_Fremont_Weir-0054.jpg,"Fremont Weir with Yolo Bypass to the left, Sacramento River to the right (Paul J Hames / CA DWR)"
flood-control-structures,media/dwr_photos/1920_01_30_zz_000926_Sac_Weir.jpg,"Sacramento Weir shortly after construction, 1921 (CA DWR)"
flood-control-structures,media/dwr_photos/1921_01_29_zz_00917_Sac_Weir.jpg,"Sacramento Weir shortly after construction, 1921 (CA DWR)"
flood-control-structures,media/dwr_photos/FL_Flood_Aerials-8961.jpg,Sacramento Weir opened during the 13 January 2017 flood (Florence Low / CA DWR)
flood-control-structures,media/dwr_photos/2006_03_02_SP_0024_Sac_Weir.jpg,Sacramento Weir during winter 2006 floods (Steve Payer / CA DWR) 
flood-control-structures-x,media/dwr_photos/FL_Flood_Aerials-8835.jpg,Fremont Weir overtopping on 13 January 2017 (Florence Low / CA DWR)
flood-control-structures,https://water.weather.gov/resources/hydrographs/fmwc1_record.png,"Current and forecasted <a href=https://water.weather.gov/ahps2/hydrograph.php?wfo=sto&gage=fmwc1&hydro_type=2 target=_blank>Sacramento River stage at the Fremont Weir</a>. At 32 feet, water will overtop Fremont Weir and enter the Yolo Bypass."
flooding,media/dwr_bypass_flow_97_98.jpg,"Aerial photo mosaic from the March 1998 flood event, showing visible sediment plumes corresponding to flows from the four major tributaries of the Yolo Bypass. Source: Department of Water Resources, as published in Sommer, Harrell & Swift (2008). Extreme hydrologic banding in a large-river Floodplain, California, U.S.A. Hydrobiologia 598(1):409-415. doi:<a href=http://doi.org/10.1007/s10750-007-9159-1 target=_blank>10.1007/s10750-007-9159-1</a>"
flooding,media/dwr_photos/PJH_Fremont_Weir-0100.jpg,The Sacramento River (right) overtopping the Fremont Weir and spilling into the Yolo Bypass on 30 March 2011 (Paul J Hames / CA DWR) 
flooding,media/dwr_photos/PJH_Sacramento_Weir-0036.jpg,Sacramento Weir on 30 March 2011. High water levels are seeping through the weir's plank needles but the gates have not yet been fully opened (Paul J Hames / CA DWR)
flooding,media/dwr_photos/PJH_Cache_Creek_Weir-0059.jpg,"Cache Creek Setting Basin Weir, where Cache Creek flows into the Yolo Bypass, on 30 March 2011. Note the visible differences in sediment load (Paul J Hames / CA DWR)"
flooding,media/ybwa_flood1.jpg,
flooding,media/ybwa_flood2.jpg,
flooding-x,media/dwr_photos/2006_01_03_SP_0244_flood_aerials.jpg,Sacramento Weir during winter 2006 floods (Steve Payer / CA DWR)
flooding-x,media/dwr_photos/2006_01_03_SP_0256_flood_aerials.jpg,Sacramento Weir during winter 2006 floods - Yolo Bypass in the distance (Steve Payer / CA DWR)
rice,media/rice_harvest1.jpg,
rice,media/dwr_photos/PJH_Yolo_Bypass-0229.jpg,Sep 2009 (Paul J Hames / CA DWR)
rice-flooded,media/rice_flooding.jpg,
rice-flooded,media/dwr_photos/SP_Yolo_Bypass-0265.jpg,Mar 2007 (Steve Payer / CA DWR)
permanent-ponds,media/dwr_photos/PJH_Yolo_Bypass-0155.jpg,Sep 2009 (Paul J Hames / CA DWR)
permanent-ponds,media/dwr_photos/PJH_Yolo_Bypass-0176.jpg,Sep 2009 (Paul J Hames / CA DWR)
permanent-ponds,media/sl_pond_egret.jpg,
signing-ceremony,media/planning7_signing.jpg,
signing-ceremony,media/scans/doc_signing_map.jpg,
signing-ceremony,media/scans/doc_signing_pamphlet.jpg,
signing-ceremony,media/scans/doc_signing_release.jpg,
groundbreaking,media/scans/scan9504_groundbreaking_bb.jpg,
groundbreaking,media/planning9_groundbreaking.jpg,
groundbreaking,media/scans/scan9404_groundbreaking_rk.jpg,
groundbreaking,media/scans/scan9405_groundbreaking_crowd.jpg,
groundbreaking,media/scans/scan9501_groundbreaking_bm.jpg,
groundbreaking,media/scans/scan9502_rk_bm.jpg,
groundbreaking,media/scans/scan9503_rk_vf.jpg,
demowetlands-history,media/scans/scan9804_demowetland.jpg,
demowetlands-history,media/scans/scan9906_aerial_hq.jpg,
demowetlands-history,media/scans/scan9904_hq_demowetland_veg.jpg,
demowetlands-history,media/scans/scan0103_pano_demowetland.jpg,
hq-history,media/scans/scan9703_hq.jpg,
hq-history,media/scans/scan9702_hq_sign.jpg,
early-ybwg,media/scans/doc_volunteer_flyer_masked.jpg,
early-ybwg,media/scans/scan9401_tabling.jpg,
early-ybwg,media/scans/scan9402_tabling.jpg,
duckdays,media/duckdays_sign.jpg,
duckdays,media/scans/scan0002_duckdays.jpg,
duckdays,media/scans/scan0003_duckdays.jpg,
duckdays,media/scans/scan0004_duckdays.jpg,
duckdays,media/scans/doc_duck_days.jpg,
putahcreek,media/scans/scan9601_putah.jpg,
putahcreek,media/scans/scan9907_aerial_putahck.jpg,
putahcreek,media/scans/scan9403_putah_flood.jpg,
riparian-restoration,media/scans/scan9603_riparian.jpg,
riparian-restoration,media/scans/scan9605_riparian.jpg,
riparian-restoration,media/scans/scan9704_riparian.jpg,
riparian-restoration,media/scans/scan9808_riparian.jpg,
glide-ranch-history,media/history/j_h_glide.jpg,J.H. Glide.  Source: <a href=https://wildlife.ca.gov/Lands/Planning/Yolo-Bypass-WA target=_blank>Yolo Bypass Wildlife Area Land Management Plan</a>
glide-ranch-history,media/scans/img008_glideranch.jpg,"Glides Tule Ranch, 1950s"
glide-ranch-history,media/scans/img018c.jpg,Glides Tule Ranch during the March 1983 flood
glide-ranch-history,media/scans/img018a.jpg,"Glides Umbrella Barn, the highest point on the ranch, during the March 1983 flood"
causeway-history,media/history/crossing_yolo_basin_tule_jack_road.jpg,Crossing the Yolo Basin on the Tule Jack Road in 1913. Source: <a href=https://wildlife.ca.gov/Lands/Planning/Yolo-Bypass-WA target=_blank>Yolo Bypass Wildlife Area Land Management Plan</a>; photo courtesy of Bud Rossi
causeway-history,media/history/2002-0063_000170262.jpg,"Hand-colored postcard showing the causeway over Yolo Basin, c. 1920. Source: <a href=https://calisphere.org/item/7d92bb653afabed3d2bc3acfc878dcb3/ target=_blank>California State Library via Calisphere</a>."
causeway-history,media/history/yolo_causeway_celebraiton.jpg,Poster advertising the four-day celebration of the opening of the causeway. Source: <a href=https://wildlife.ca.gov/Lands/Planning/Yolo-Bypass-WA target=_blank>Yolo Bypass Wildlife Area Land Management Plan</a>
causeway-history,media/history/2012-1951_000110739.jpg,"Photographic postcard showing the causeway over Yolo Basin, c. 1916. Source: <a href=https://calisphere.org/item/a40c6417727df1abba700390b0263092/ target=_blank>California State Library via Calisphere</a>."
los-rios-check-dam,media/fishpassage/YBPdamOct2005.jpg,"Los Rios Check Dam with flash boards
installed during irrigation season (October 2005 photo by Tim Salamunovich via 20 September 2018 Normandeau Associates memorandum)."
los-rios-check-dam,media/fishpassage/KDavis_LosRiosDam-Update_2018-04-19.jpg,"Los Rios Check Dam with flash boards
removed to allow fish passage (19 April 2018 photo by Ken Davis via 20 September 2018 Normandeau Associates memorandum)."
big-notch,media/dwr_photos/2022_06_23_JW_0012_Big_Notch_Groundbreaking.jpg,"Signage for the 23 June 2022 groundbreaking of the Fremont Weir ""Big Notch"" project (Jonathan Wong / CA DWR)"
big-notch,media/dwr_photos/2022_05_05_KG_5406_Fremont_Weir.JPG,Fremont Weir on 5 May 2022 prior to the start of construction of the Big Notch Project. Yolo Bypass is seen to the left of the weir and the Sacramento River to the right. (Kelly M Grow / CA DWR)
